ArrayMulti,1024,8,128,0.019498
ArrayMultiAdd,1024,8,128,0.025248
ArrayMultiReduce,1024,8,128,0.024010
ArrayMultiReduceDouble,1024,8,128,0.023829
ArrayMulti,1024,16,64,0.024039
ArrayMultiAdd,1024,16,64,0.024696
ArrayMultiReduce,1024,16,64,0.024197
ArrayMultiReduceDouble,1024,16,64,0.024070
ArrayMulti,1024,32,32,0.024672
ArrayMultiAdd,1024,32,32,0.027071
ArrayMultiReduce,1024,32,32,0.023558
ArrayMultiReduceDouble,1024,32,32,0.024688
ArrayMulti,1024,64,16,0.024013
ArrayMultiAdd,1024,64,16,0.024657
ArrayMultiReduce,1024,64,16,0.023497
ArrayMultiReduceDouble,1024,64,16,0.023199
ArrayMulti,1024,128,8,0.024735
ArrayMultiAdd,1024,128,8,0.024847
ArrayMultiReduce,1024,128,8,0.023429
ArrayMultiReduceDouble,1024,128,8,0.023333
ArrayMulti,1024,256,4,0.023914
ArrayMultiAdd,1024,256,4,0.025275
ArrayMultiReduce,1024,256,4,0.023386
ArrayMultiReduceDouble,1024,256,4,0.023002
ArrayMulti,1024,512,2,0.024588
ArrayMultiAdd,1024,512,2,0.025094
ArrayMultiReduce,1024,512,2,0.022744
ArrayMultiReduceDouble,1024,512,2,0.022190
ArrayMulti,1024,1024,1,0.023664
ArrayMultiAdd,1024,1024,1,0.025004
ArrayMultiReduce,1024,1024,1,0.023645
ArrayMultiReduceDouble,1024,1024,1,0.022041
ArrayMulti,2048,8,256,0.045669
ArrayMultiAdd,2048,8,256,0.048824
ArrayMultiReduce,2048,8,256,0.048844
ArrayMultiReduceDouble,2048,8,256,0.046948
ArrayMulti,2048,16,128,0.045956
ArrayMultiAdd,2048,16,128,0.048101
ArrayMultiReduce,2048,16,128,0.046242
ArrayMultiReduceDouble,2048,16,128,0.047321
ArrayMulti,2048,32,64,0.046834
ArrayMultiAdd,2048,32,64,0.051571
ArrayMultiReduce,2048,32,64,0.048158
ArrayMultiReduceDouble,2048,32,64,0.048280
ArrayMulti,2048,64,32,0.048425
ArrayMultiAdd,2048,64,32,0.031798
ArrayMultiReduce,2048,64,32,0.046981
ArrayMultiReduceDouble,2048,64,32,0.046155
ArrayMulti,2048,128,16,0.047119
ArrayMultiAdd,2048,128,16,0.049296
ArrayMultiReduce,2048,128,16,0.046252
ArrayMultiReduceDouble,2048,128,16,0.046456
ArrayMulti,2048,256,8,0.033536
ArrayMultiAdd,2048,256,8,0.049483
ArrayMultiReduce,2048,256,8,0.046207
ArrayMultiReduceDouble,2048,256,8,0.046976
ArrayMulti,2048,512,4,0.049149
ArrayMultiAdd,2048,512,4,0.050016
ArrayMultiReduce,2048,512,4,0.045193
ArrayMultiReduceDouble,2048,512,4,0.045751
ArrayMulti,2048,1024,2,0.044802
ArrayMultiAdd,2048,1024,2,0.048038
ArrayMultiReduce,2048,1024,2,0.042965
ArrayMultiReduceDouble,2048,1024,2,0.040666
ArrayMulti,4096,8,512,0.086583
ArrayMultiAdd,4096,8,512,0.090425
ArrayMultiReduce,4096,8,512,0.085771
ArrayMultiReduceDouble,4096,8,512,0.085746
ArrayMulti,4096,16,256,0.093717
ArrayMultiAdd,4096,16,256,0.097810
ArrayMultiReduce,4096,16,256,0.091662
ArrayMultiReduceDouble,4096,16,256,0.089888
ArrayMulti,4096,32,128,0.096533
ArrayMultiAdd,4096,32,128,0.099480
ArrayMultiReduce,4096,32,128,0.099280
ArrayMultiReduceDouble,4096,32,128,0.094780
ArrayMulti,4096,64,64,0.097352
ArrayMultiAdd,4096,64,64,0.099599
ArrayMultiReduce,4096,64,64,0.092041
ArrayMultiReduceDouble,4096,64,64,0.094313
ArrayMulti,4096,128,32,0.096597
ArrayMultiAdd,4096,128,32,0.098150
ArrayMultiReduce,4096,128,32,0.094874
ArrayMultiReduceDouble,4096,128,32,0.091203
ArrayMulti,4096,256,16,0.095077
ArrayMultiAdd,4096,256,16,0.099129
ArrayMultiReduce,4096,256,16,0.091656
ArrayMultiReduceDouble,4096,256,16,0.092159
ArrayMulti,4096,512,8,0.093679
ArrayMultiAdd,4096,512,8,0.100969
ArrayMultiReduce,4096,512,8,0.093299
ArrayMultiReduceDouble,4096,512,8,0.097050
ArrayMulti,4096,1024,4,0.093995
ArrayMultiAdd,4096,1024,4,0.099876
ArrayMultiReduce,4096,1024,4,0.091841
ArrayMultiReduceDouble,4096,1024,4,0.088344
ArrayMulti,8192,8,1024,0.171611
ArrayMultiAdd,8192,8,1024,0.166369
ArrayMultiReduce,8192,8,1024,0.160902
ArrayMultiReduceDouble,8192,8,1024,0.152676
ArrayMulti,8192,16,512,0.180791
ArrayMultiAdd,8192,16,512,0.198999
ArrayMultiReduce,8192,16,512,0.171848
ArrayMultiReduceDouble,8192,16,512,0.171571
ArrayMulti,8192,32,256,0.191819
ArrayMultiAdd,8192,32,256,0.195882
ArrayMultiReduce,8192,32,256,0.181685
ArrayMultiReduceDouble,8192,32,256,0.180552
ArrayMulti,8192,64,128,0.187301
ArrayMultiAdd,8192,64,128,0.204606
ArrayMultiReduce,8192,64,128,0.184094
ArrayMultiReduceDouble,8192,64,128,0.176411
ArrayMulti,8192,128,64,0.192328
ArrayMultiAdd,8192,128,64,0.213267
ArrayMultiReduce,8192,128,64,0.186640
ArrayMultiReduceDouble,8192,128,64,0.196061
ArrayMulti,8192,256,32,0.181191
ArrayMultiAdd,8192,256,32,0.195925
ArrayMultiReduce,8192,256,32,0.179327
ArrayMultiReduceDouble,8192,256,32,0.169966
ArrayMulti,8192,512,16,0.189052
ArrayMultiAdd,8192,512,16,0.196522
ArrayMultiReduce,8192,512,16,0.178919
ArrayMultiReduceDouble,8192,512,16,0.184459
ArrayMulti,8192,1024,8,0.184305
ArrayMultiAdd,8192,1024,8,0.202592
ArrayMultiReduce,8192,1024,8,0.179598
ArrayMultiReduceDouble,8192,1024,8,0.172123
ArrayMulti,16384,8,2048,0.327667
ArrayMultiAdd,16384,8,2048,0.312773
ArrayMultiReduce,16384,8,2048,0.277324
ArrayMultiReduceDouble,16384,8,2048,0.267796
ArrayMulti,16384,16,1024,0.340709
ArrayMultiAdd,16384,16,1024,0.362614
