1,1,2019,34.293934,8.420767,5.634509,1,0
2,2,2019,45.018166,9.483457,11.337015,2,0
3,3,2019,43.809631,12.046164,16.972561,3,0
4,4,2019,55.359478,12.899732,16.167606,4,0
5,5,2019,67.567841,11.159463,14.171556,5,0
6,6,2019,60.258869,8.537625,11.800786,6,0
7,7,2019,77.529289,2.88062,8.80079,7,0
8,8,2019,73.624985,0,5.300826,8,0
9,9,2019,61.816475,1.098487,1.331865,7,0
10,10,2019,39.786591,1.211154,1.525267,6,0
11,11,2019,35.359169,2.060734,1.959347,5,0
12,12,2019,29.6908,4.266205,1.448843,4,0
13,1,2020,35.661659,5.892544,5.047449,3,0
14,2,2020,32.462841,8.248572,7.943378,4,0
15,3,2020,47.687523,12.273041,10.150566,5,0
16,4,2020,51.450775,13.20643,9.595887,6,0
17,5,2020,67.395035,10.751677,6.600266,7,0
18,6,2020,68.945915,6.256445,3.101863,6,0
19,7,2020,78.836296,5.858312,0.101865,5,0
20,8,2020,64.471207,0.965222,0,4,0
21,9,2020,60.82402,0,0,3,0
22,10,2020,37.250313,0,1.228723,2,0
23,11,2020,33.974819,1.398736,2.884125,1,0
24,12,2020,28.686405,3.385566,3.820267,2,0
25,1,2021,32.581062,5.642785,6.636188,3,0
26,2,2021,40.163353,9.932699,13.133691,4,0
27,3,2021,45.873905,11.840718,16.610548,5,0
28,4,2021,55.312386,11.768946,14.853933,6,0
29,5,2021,57.702499,11.059239,12.198467,7,0
30,6,2021,71.022804,7.343365,8.69896,8,0
31,7,2021,59.962418,2.530744,4.784102,9,0
32,8,2021,61.981556,1.34388,0.314248,8,0
33,9,2021,55.494175,0,0,7,0
34,10,2021,49.315399,0,0,6,0
35,11,2021,41.319092,0,0,5,0
36,12,2021,29.447931,5.643581,0,4,0
37,1,2022,36.850319,6.931417,4.593436,3,0
38,2,2022,38.025009,8.265648,10.55941,4,0
39,3,2022,41.338715,11.131248,16.317396,5,0
40,4,2022,58.500961,10.417326,14.077896,6,0
41,5,2022,69.842308,11.784019,11.078947,7,0
42,6,2022,59.420113,6.409276,7.740828,8,0
43,7,2022,62.837605,3.098732,3.767815,7,0
44,8,2022,65.109848,2.089221,0.275632,6,0
45,9,2022,45.496292,0.317892,0,5,0
46,10,2022,50.691315,0.295406,0,4,0
47,11,2022,27.025808,2.063038,0,3,0
48,12,2022,37.080078,6.135882,4.827265,2,0
49,1,2023,25.239069,8.59148,4.714852,3,0
50,2,2023,41.250778,11.875597,10.818426,4,0
51,3,2023,40.183113,10.236147,16.811285,5,0
52,4,2023,51.045231,13.005598,16.469181,6,0
53,5,2023,66.37941,10.458068,13.476767,7,0
54,6,2023,68.597717,9.220515,9.978998,8,0
55,7,2023,78.735161,3.72573,5.979,9,0
56,8,2023,67.494194,2.561478,1.481398,8,0
57,9,2023,47.973602,1.964929,0,7,0
58,10,2023,53.838814,1.101248,0,6,0
59,11,2023,36.313644,1.145766,0.188577,5,0
60,12,2023,27.613247,2.480613,0,4,0
61,1,2024,38.193176,7.798417,5.376696,3,0
62,2,2024,39.10474,9.04471,11.740739,4,0
63,3,2024,50.285694,11.706144,12.438378,5,0
64,4,2024,50.043442,10.155667,12.855192,6,0
65,5,2024,59.864834,9.2012,10.008845,7,0
66,6,2024,63.308338,9.436911,6.543702,8,0
67,7,2024,67.015686,5.285628,2.548036,7,0
68,8,2024,66.171547,1.145834,0,6,0
69,9,2024,56.296886,0.349919,0,5,0
70,10,2024,37.772381,0.121855,0.369223,4,0
71,11,2024,28.710442,0.997561,0,3,0
72,12,2024,36.669331,3.570138,3.23545,2,0
